amount,duration,payments,DID,Average_order_amount,Average_trans_amount,Average_trans_balance,No_transaction,Card_type,No_inhabitants,Average_salary,Average_unemployment_rate,Average_crime_rate,gender,Owner_age,Same_district
79608,24,3317.0,313,3317.0,15016.194805194806,65773.4567099567,462,No,105606,8254,3.275,0.021262996420657918,male,282.0,True
52788,12,4399.0,244,2504.0,2654.845041322314,22010.19421487603,484,No,58796,9045,3.365,0.03166882100823185,male,246.0,True
21924,36,609.0,297,3435.5,4808.558521560575,46258.33880903491,487,No,157042,8743,2.155,0.024047706982845352,male,398.0,True
23052,12,1921.0,617,1772.2,3333.6015037593984,24129.73082706767,665,No,387570,9897,1.78,0.04827128002683386,female,646.0,True
41904,12,3492.0,603,3626.8333333333335,7649.588597842835,58766.85362095531,649,No,228848,9893,4.405,0.025147696287492135,male,242.0,False
65184,12,5432.0,448,5432.3,11066.318965517241,70233.51939655172,464,gold,387570,9897,1.78,0.04827128002683386,male,438.0,False
76908,12,6409.0,485,6408.8,11575.71670190275,46888.48837209302,473,No,107870,8754,4.07,0.035561323815704086,female,580.0,False
105804,36,2939.0,185,4966.35,5983.7164502164505,35669.38528138528,462,classic,107870,8754,4.07,0.035561323815704086,female,639.0,False
39576,12,3298.0,522,5602.766666666666,8694.99533437014,64095.143079315705,643,junior,1204953,12541,0.36,0.07667684963645885,female,170.0,False
208320,48,4340.0,479,4340.0,9533.83173076923,41532.387019230766,416,No,1204953,12541,0.36,0.07667684963645885,female,313.0,False
83016,12,6918.0,632,4606.099999999999,9277.996460176992,61408.329203539826,565,junior,285387,10177,7.19,0.03501561038169223,male,187.0,False
51696,24,2154.0,396,2153.8,12693.316,58674.832,500,classic,323870,10673,5.095,0.05732083860808349,female,313.0,True
127080,60,2118.0,170,2647.825,3242.935537190083,29452.327272727274,605,No,77917,8390,2.585,0.026964590525815933,male,685.0,True
24312,12,2026.0,455,2025.7,4904.035714285715,36158.44387755102,392,No,93931,8427,1.33,0.020158414155071275,female,461.0,True
165960,36,4610.0,148,3288.0,7506.873617693523,43499.84202211691,633,No,112709,8369,2.05,0.024274902625344916,male,299.0,True
274740,60,4579.0,204,4944.666666666667,11166.880910683012,56912.57968476357,571,junior,1204953,12541,0.36,0.07667684963645885,male,179.0,False
143904,24,5996.0,518,3161.066666666667,9248.316071428571,56721.03392857143,560,No,107870,8754,4.07,0.035561323815704086,male,519.0,False
80952,24,3373.0,313,5319.35,6593.125523012553,36540.780334728035,478,No,1204953,12541,0.36,0.07667684963645885,male,587.0,True
80952,24,3373.0,313,5319.35,6605.968619246862,35557.592050209205,478,No,1204953,12541,0.36,0.07667684963645885,male,587.0,True
24516,12,2043.0,317,2043.0,12940.887640449439,55885.52808988764,534,No,1204953,12541,0.36,0.07667684963645885,male,423.0,True
212400,36,5900.0,391,5900.0,9688.591324200914,62403.422374429225,438,No,85852,8965,7.655,0.031886269393840566,female,329.0,True
91632,12,7636.0,365,5584.0,5805.644820295983,47918.044397463,473,No,94725,9920,2.565,0.048218527315914486,female,374.0,False
23628,12,1969.0,547,5735.85,12178.5,67867.25438596492,570,No,85852,8965,7.655,0.031886269393840566,male,486.0,True
95400,36,2650.0,268,2650.2,13227.711899791231,68519.10855949896,479,No,75685,8208,2.075,0.024991742088921187,male,273.0,False
55368,24,2307.0,362,2306.8,8882.86827458256,42411.901669758816,539,No,197099,9624,1.955,0.022194430210198936,female,650.0,True
464520,60,7742.0,257,7741.8,10133.149659863946,37420.986394557825,441,No,77963,8546,3.485,0.036940600028218515,female,635.0,False
69360,48,1445.0,450,1445.0,4401.761786600497,33499.903225806454,403,No,75637,9622,0.52,0.04630009122519402,male,634.0,False
111384,24,4641.0,472,4088.6666666666665,11670.960567823344,60965.33753943218,634,No,51428,8402,3.555,0.020397448860542896,male,328.0,False
174744,24,7281.0,452,4619.575,8186.367924528302,30542.00566037736,530,junior,125236,9675,7.055,0.04197275543773356,female,186.0,False
96396,12,8033.0,105,8033.2,10195.764267990075,44264.573200992556,403,No,94812,9650,3.525,0.030528836012319115,female,551.0,True
224604,36,6239.0,519,6239.2,14296.225882352941,68073.48470588235,425,junior,51313,8930,3.86,0.027088651998518894,male,219.0,True
120888,36,3358.0,496,3291.5,6206.538283062645,39187.02320185615,431,No,1204953,12541,0.36,0.07667684963645885,female,603.0,True
7656,24,319.0,367,2013.5,5976.529523809524,46877.81333333333,525,No,78955,9060,2.11,0.021353935786207333,female,378.0,True
74688,12,6224.0,496,9967.65,10591.620493358634,47345.552182163185,527,No,87419,8624,2.225,0.03475789016117778,female,594.0,True
89040,60,1484.0,392,4262.5,3375.173831775701,36367.31401869159,535,No,148545,8909,4.785,0.023730182772897103,female,291.0,True
174744,24,7281.0,163,7281.3,10178.982532751092,45002.301310043666,458,No,122603,8991,1.7,0.04270287023971681,female,541.0,True
47016,12,3918.0,239,9249.6,13461.32340425532,54667.09574468085,470,No,197099,9624,1.955,0.022194430210198936,female,431.0,False
63312,48,1319.0,402,1365.3333333333333,1556.781737193764,17117.45434298441,449,No,149893,9753,4.845,0.03714649783512239,female,456.0,False
154416,48,3217.0,176,3216.7,13179.052742616033,59249.852320675105,474,No,70699,8968,3.09,0.025813660730703406,female,292.0,True
149040,48,3105.0,292,3751.1,6158.601789709172,37200.3937360179,447,No,75637,9622,0.52,0.04630009122519402,female,301.0,True
11736,24,489.0,528,2365.0,5635.858620689655,34715.81379310345,580,No,1204953,12541,0.36,0.07667684963645885,male,672.0,True
121896,24,5079.0,486,5079.0,11831.0,66951.42084168337,499,No,157042,8743,2.155,0.024047706982845352,male,353.0,True
300660,60,5011.0,304,3231.8,8247.958402662229,49107.372712146425,601,No,128118,9317,6.78,0.053938556643094646,male,529.0,True
167100,60,2785.0,335,2784.8,12142.410958904109,56108.46803652968,438,classic,145688,8544,1.575,0.019304953050354182,female,290.0,True
82896,12,6908.0,482,4195.875,9982.448275862069,57004.2249589491,609,classic,110643,8441,3.965,0.018668148911363574,male,270.0,False
78936,12,6578.0,273,3374.6666666666665,3259.741482965932,30917.380761523047,499,No,1204953,12541,0.36,0.07667684963645885,female,444.0,False
253200,60,4220.0,255,4219.5,9562.949109414758,47187.45292620865,393,No,228848,9893,4.405,0.025147696287492135,female,526.0,False
208128,48,4336.0,439,4335.8,9284.546798029556,45511.28078817734,406,classic,387570,9897,1.78,0.04827128002683386,male,515.0,True
87840,24,3660.0,124,1759.36,4802.899259259259,30675.87851851852,675,No,53921,8598,3.015,0.03219524860443983,female,162.0,True
108144,36,3004.0,256,3870.25,11284.865853658537,59002.20325203252,492,No,1204953,12541,0.36,0.07667684963645885,female,368.0,False
149340,60,2489.0,321,5621.65,5495.901639344263,35020.355971896955,427,No,105606,8254,3.275,0.021262996420657918,male,374.0,True
131292,36,3647.0,425,5479.5,7146.404347826087,39886.81304347826,460,No,1204953,12541,0.36,0.07667684963645885,male,484.0,True
192744,36,5354.0,488,5353.5,10881.060324825987,67194.60788863109,431,classic,110643,8441,3.965,0.018668148911363574,female,276.0,True
300204,36,8339.0,364,8339.0,6633.416867469879,35204.224096385544,415,No,67298,8561,0.97,0.016018306636155607,male,362.0,False
299088,36,8308.0,419,4842.599999999999,8654.56475583864,34860.12951167728,471,No,106054,8110,6.16,0.029810285326343184,female,331.0,True
87816,12,7318.0,476,6161.5,4348.293010752688,18739.486559139787,372,No,105058,9272,3.01,0.04209579470387786,male,400.0,False
75624,24,3151.0,196,3151.3,9714.814569536424,38446.62030905077,453,No,387570,9897,1.78,0.04827128002683386,male,420.0,True
189300,60,3155.0,413,2361.0,4664.413793103448,50215.70862068966,580,classic,162580,9538,1.66,0.03533337433878706,male,487.0,False
272520,60,4542.0,333,5224.5,10610.849894291754,52304.972515856236,473,No,92084,10124,0.55,0.04412275748229877,male,656.0,True
117024,24,4876.0,137,4875.8,10335.9,63274.358536585365,410,classic,177686,10045,1.565,0.03629717591706719,male,697.0,True
323472,48,6739.0,415,4873.35,9866.863134657837,48719.51876379691,453,classic,1204953,12541,0.36,0.07667684963645885,female,645.0,True
173808,24,7242.0,383,7242.0,15677.378854625551,64091.779735682816,454,No,148545,8909,4.785,0.023730182772897103,female,449.0,True
74736,36,2076.0,399,4130.0,7053.225181598063,39672.23244552058,413,classic,77917,8390,2.585,0.026964590525815933,male,345.0,True
38148,12,3179.0,171,4403.0,5386.075286415712,39267.07855973813,611,No,1204953,12541,0.36,0.07667684963645885,female,346.0,True
14628,12,1219.0,399,1555.6,3495.2119309262166,44652.49607535322,637,classic,157042,8743,2.155,0.024047706982845352,female,544.0,True
80340,12,6695.0,319,6695.0,13587.63829787234,56843.87706855792,423,junior,75637,9622,0.52,0.04630009122519402,female,219.0,False
93888,36,2608.0,156,6665.6,6213.752272727273,33983.26818181818,440,No,86513,8288,4.155,0.01746558320714806,female,517.0,True
77640,12,6470.0,333,6469.7,13582.198511166253,62552.77171215881,403,No,105606,8254,3.275,0.021262996420657918,male,322.0,False
259740,60,4329.0,155,8371.4,8510.14058956916,38296.120181405895,441,No,228848,9893,4.405,0.025147696287492135,male,176.0,True
87360,24,3640.0,321,3639.5,9029.939698492462,51558.565326633165,398,classic,85852,8965,7.655,0.031886269393840566,male,382.0,True
97632,12,8136.0,301,6860.666666666667,12866.482632541134,59053.062157221204,547,No,70646,8547,3.145,0.021975766497749342,female,308.0,False
91200,24,3800.0,231,7039.4,7871.607228915663,32920.47951807229,415,No,119895,10446,8.37,0.04041035906418116,female,462.0,True
17508,12,1459.0,450,1459.0,4660.8418079096045,51932.279661016946,354,gold,323870,10673,5.095,0.05732083860808349,male,582.0,False
170256,24,7094.0,448,6508.0,8136.2791262135925,55541.34708737864,412,classic,93931,8427,1.33,0.020158414155071275,female,351.0,True
209184,48,4358.0,391,4358.0,12428.414392059552,56543.898263027295,403,No,139012,8363,3.005,0.01928970160849423,male,494.0,False
86616,12,7218.0,125,3911.0,3690.7896613190733,55418.885918003565,561,No,75637,9622,0.52,0.04630009122519402,male,386.0,True
276660,36,7685.0,314,7685.0,3617.1176470588234,16486.544757033247,391,No,124605,8772,4.835,0.024124232574936802,male,541.0,True
49320,12,4110.0,167,5457.333333333333,9737.58348968105,49615.367729831145,533,No,122603,8991,1.7,0.04270287023971681,female,580.0,True
141240,24,5885.0,388,3113.06,7783.797770700637,63072.58439490446,628,classic,102609,8187,5.14,0.02074379440399965,male,384.0,True
25944,24,1081.0,260,1081.0,9312.669467787115,52050.96078431373,357,classic,118650,9832,3.9,0.050214917825537296,female,408.0,True
21072,24,878.0,135,1735.3333333333333,2002.9944852941176,31828.3125,544,No,149893,9753,4.845,0.03714649783512239,female,353.0,False
197748,36,5493.0,163,6505.0,7667.883177570094,47920.05841121495,428,No,102609,8187,5.14,0.02074379440399965,female,285.0,False
52128,24,2172.0,264,2172.0,6031.366920152092,45316.00950570342,526,classic,94812,9650,3.525,0.030528836012319115,female,418.0,False
48672,36,1352.0,415,850.0,1315.6190476190477,18803.144620811287,567,No,1204953,12541,0.36,0.07667684963645885,female,558.0,False
239460,60,3991.0,274,4980.599999999999,7174.3340425531915,35110.631914893616,470,No,128118,9317,6.78,0.053938556643094646,female,621.0,False
227880,36,6330.0,382,6330.2,9201.729559748428,62471.68343815514,477,No,197099,9624,1.955,0.022194430210198936,female,467.0,True
196080,48,4085.0,231,4085.0,12332.583908045977,63749.262068965516,435,No,87419,8624,2.225,0.03475789016117778,male,431.0,True
230220,36,6395.0,356,5281.266666666666,6777.7522123893805,32238.699115044248,452,No,323870,10673,5.095,0.05732083860808349,female,622.0,True
182628,36,5073.0,142,4168.5,5049.298076923077,39338.67067307692,416,No,138032,8819,5.52,0.03103628144198447,male,417.0,True
140400,36,3900.0,392,3900.5,12672.75113122172,62794.73303167421,442,classic,1204953,12541,0.36,0.07667684963645885,male,636.0,False
244560,60,4076.0,258,8040.75,8956.413698630136,30600.56712328767,365,No,124605,8772,4.835,0.024124232574936802,female,323.0,False
50460,60,841.0,269,4065.0,4952.905569007264,56606.80871670702,413,gold,75637,9622,0.52,0.04630009122519402,female,560.0,True
193968,36,5388.0,197,5388.5,8926.583333333334,52787.87009803922,408,No,226122,8994,4.295,0.041747375310673,male,257.0,True
4980,12,415.0,242,1287.0,2727.1332082551594,25265.219512195123,533,No,86513,8288,4.155,0.01746558320714806,female,503.0,True
71460,12,5955.0,326,6611.5,8256.926108374384,40341.0197044335,406,No,157042,8743,2.155,0.024047706982845352,male,589.0,True
61056,48,1272.0,347,2495.0,4734.492374727669,33080.69063180828,459,No,1204953,12541,0.36,0.07667684963645885,female,445.0,False
151560,24,6315.0,194,8224.5,11902.34916864608,56137.61995249406,421,gold,125832,8512,3.815,0.01728495136372306,male,492.0,True
45768,12,3814.0,274,3813.7,6009.72654155496,31357.361930294905,373,No,106054,8110,6.16,0.029810285326343184,female,206.0,False
104808,12,8734.0,186,3468.4,4513.068181818182,37433.91433566433,572,No,125832,8512,3.815,0.01728495136372306,male,654.0,True
91584,24,3816.0,211,3816.0,11498.88524590164,48070.34972677596,366,No,1204953,12541,0.36,0.07667684963645885,female,511.0,False
87216,48,1817.0,192,1817.3,3824.3505976095616,17821.677290836655,502,No,58796,9045,3.365,0.03166882100823185,male,360.0,True
215388,36,5983.0,156,5983.0,7253.31328320802,35553.260651629076,399,No,1204953,12541,0.36,0.07667684963645885,male,412.0,False
252060,60,4201.0,232,4194.733333333334,6998.772522522522,34002.15990990991,444,No,1204953,12541,0.36,0.07667684963645885,female,347.0,False
123696,48,2577.0,336,2834.6666666666665,8497.716904276986,53456.674134419554,491,No,124605,8772,4.835,0.024124232574936802,male,650.0,True
59760,24,2490.0,312,5168.5,7037.211538461538,62014.105769230766,416,classic,323870,10673,5.095,0.05732083860808349,male,431.0,True
